,project_id,project_name,project_start_date,project_completion_date,building_id,number,street,borough,postcode,bbl,bin,community_board,council_district,census_tract,nta_-_neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,building_completion_date,reporting_construction_type,extended_affordability_only,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,1-br_units,2-br_units,3-br_units,4-br_units,5-br_units,6-br+_units,unknown-br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units
3271,50682,74 W 105th Street,2014-01-21T00:00:00,2014-01-21T00:00:00,37582.0,74,WEST 105 STREET,Manhattan,10025.0,1018400060.0,1055508.0,MN-07,7,189.0,MN12,40.798269,-73.962676,40.79815,-73.962997,2014-01-21T00:00:00,Preservation,Yes,Non Prevailing Wage,0,0,0,10,0,0,0,9,1,0,0,0,0,0,10,0,10,10
3266,50196,Belmont Venezia,2014-01-22T00:00:00,2015-04-13T00:00:00,806410.0,2416,CROTONA AVENUE,Bronx,10458.0,2031040001.0,2092315.0,BX-06,15,393.0,BX06,40.854554,-73.883291,40.85431,-73.883158,2015-04-13T00:00:00,Preservation,No,Non Prevailing Wage,0,0,25,0,0,0,1,15,9,0,0,0,0,0,25,0,25,25
3265,50196,Belmont Venezia,2014-01-22T00:00:00,2015-04-13T00:00:00,806409.0,2412,CROTONA AVENUE,Bronx,10458.0,2031040001.0,2092314.0,BX-06,15,393.0,BX06,40.854475,-73.88333100000001,40.85431,-73.883158,2015-04-13T00:00:00,Preservation,No,Non Prevailing Wage,0,0,25,0,0,0,1,15,9,0,0,0,0,0,25,0,25,25
3264,50196,Belmont Venezia,2014-01-22T00:00:00,2015-04-13T00:00:00,87351.0,2476,HUGHES AVENUE,Bronx,10458.0,2030760039.0,2012230.0,BX-06,15,389.0,BX06,40.85693,-73.885398,40.85667,-73.885139,2015-04-13T00:00:00,Preservation,No,Non Prevailing Wage,0,0,62,0,0,1,0,23,23,17,0,0,0,0,63,0,63,63
3263,50196,Belmont Venezia,2014-01-22T00:00:00,2015-04-13T00:00:00,59948.0,2404,CROTONA AVENUE,Bronx,10458.0,2031040001.0,2092313.0,BX-06,15,393.0,BX06,40.854315,-73.883411,40.85431,-73.883158,2015-04-13T00:00:00,Preservation,No,Non Prevailing Wage,0,0,23,0,0,1,0,4,9,11,0,0,0,0,24,0,24,24
3262,50196,Belmont Venezia,2014-01-22T00:00:00,2015-04-13T00:00:00,49501.0,2431,BELMONT AVENUE,Bronx,10458.0,2030760011.0,2012218.0,BX-06,15,389.0,BX06,40.855396,-73.885752,40.8556,-73.885853,2015-04-13T00:00:00,Preservation,No,Non Prevailing Wage,0,0,42,0,0,1,0,6,28,9,0,0,0,0,43,0,43,43
3256,44348,Crossroads Plaza- Rental Low,2014-01-28T00:00:00,2017-04-12T00:00:00,950310.0,501,SOUTHERN BOULEVARD,Bronx,10455.0,2025827502.0,2128607.0,BX-01,8,31.0,BX39,40.811296,-73.9054,40.8117,-73.905338,2017-04-12T00:00:00,New Construction,No,Non Prevailing Wage,0,28,107,0,0,1,0,7,83,46,0,0,0,0,136,0,136,136
3250,65120,THE ROOSEVELT,2014-02-04T00:00:00,2016-09-01T00:00:00,940294.0,40-07,73 STREET,Queens,11377.0,4013057501.0,4030453.0,QN-04,25,265.0,QN50,40.746437,-73.892251,40.74653,-73.89200500000001,2016-09-01T00:00:00,New Construction,No,Non Prevailing Wage,0,0,6,0,0,0,0,1,5,0,0,0,0,0,6,0,6,30
3244,65121,57 AND 59 ORIENT AVENUE,2014-02-07T00:00:00,2017-09-14T00:00:00,953043.0,59,ORIENT AVENUE,Brooklyn,11211.0,3029070047.0,3070238.0,BK-01,34,477.0,BK90,40.715173,-73.939531,40.71544,-73.939358,2017-09-14T00:00:00,New Construction,No,Non Prevailing Wage,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,2,8
3243,65121,57 AND 59 ORIENT AVENUE,2014-02-07T00:00:00,2017-09-14T00:00:00,950543.0,57,ORIENT AVENUE,Brooklyn,11211.0,3029070049.0,3070239.0,BK-01,34,477.0,BK90,40.715159,-73.939578,40.71541,-73.939459,2017-09-14T00:00:00,New Construction,No,Non Prevailing Wage,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,2,8
