,project_id,project_name,project_start_date,project_completion_date,building_id,number,street,borough,postcode,bbl,bin,community_board,council_district,census_tract,nta_-_neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,building_completion_date,reporting_construction_type,extended_affordability_only,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,br1_units,br2_units,br3_units,br4_units,br5_units,br6_units,unknown-br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units
0,51867,THE ROBESON,2018-06-29T00:00:00,,927152.0,407,LENOX AVENUE,Manhattan,10037.0,1019150032.0,,MN-10,9,226.0,MN03,40.811202,-73.942995,40.811370000000004,-73.943342,,New Construction,No,Non Prevailing Wage,0,16,24,0,38,1,16,25,32,6,0,0,0,0,79,0,79,79
1,52986,ESSIE  JEFFRIES APARTMENTS HDFC.HUDMF.FY18,2018-06-29T00:00:00,,5738.0,1990,AMSTERDAM AVENUE,Manhattan,10032.0,1021170034.0,1062764.0,MN-12,7,245.0,MN36,40.833828999999994,-73.941339,40.83408,-73.94151600000001,,Preservation,No,Prevailing Wage,20,3,1,0,0,1,0,0,15,5,5,0,0,0,25,0,25,25
2,52986,ESSIE  JEFFRIES APARTMENTS HDFC.HUDMF.FY18,2018-06-29T00:00:00,,42862.0,531,WEST 160 STREET,Manhattan,10032.0,1021190058.0,1062843.0,MN-12,7,245.0,MN36,40.835159999999995,-73.941663,40.83556,-73.94205600000001,,Preservation,No,Prevailing Wage,6,11,3,0,0,0,0,0,20,0,0,0,0,0,20,0,20,20
3,52986,ESSIE  JEFFRIES APARTMENTS HDFC.HUDMF.FY18,2018-06-29T00:00:00,,42869.0,547,WEST 160 STREET,Manhattan,10032.0,1021190066.0,1062847.0,MN-12,7,245.0,MN36,40.835295,-73.94197700000001,40.83579,-73.942616,,Preservation,No,Prevailing Wage,4,14,2,0,0,0,0,0,20,0,0,0,0,0,20,0,20,20
5,59107,LA CABANA HOUSES,2018-06-29T00:00:00,,328793.0,391,LORIMER STREET,Brooklyn,11206.0,3030310018.0,3070857.0,BK-01,34,511.0,BK90,40.708637,-73.948486,40.70859,-73.949128,,Preservation,No,Non Prevailing Wage,59,7,4,0,0,1,0,21,15,35,0,0,0,0,71,0,71,71
6,59107,LA CABANA HOUSES,2018-06-29T00:00:00,,328801.0,417,LORIMER STREET,Brooklyn,11206.0,3030220025.0,3070801.0,BK-01,34,511.0,BK90,40.709391,-73.948612,40.70933,-73.948936,,Preservation,No,Non Prevailing Wage,40,5,3,0,0,0,0,16,9,23,0,0,0,0,48,0,48,48
7,59107,LA CABANA HOUSES,2018-06-29T00:00:00,,380885.0,16,TEN EYCK STREET,Brooklyn,11206.0,3030220016.0,3070800.0,BK-01,34,511.0,BK90,40.709584,-73.950047,40.70924,-73.949874,,Preservation,No,Non Prevailing Wage,41,4,2,1,0,0,0,16,9,23,0,0,0,0,48,0,48,48
8,63761,168TH STREET GARAGE,2018-06-29T00:00:00,,927041.0,92-29,168 STREET,Queens,11433.0,4102090115.0,4442250.0,QN-12,27,444.0,QN61,40.705839000000005,-73.79221,40.70559,-73.791666,,New Construction,No,Non Prevailing Wage,20,39,193,134,0,1,38,160,165,24,0,0,0,0,387,0,387,387
9,63763,CONEY ISLAND PHASE 1 (L&M),2018-06-29T00:00:00,,984726.0,2926,WEST 19 STREET,Brooklyn,11224.0,3070600019.0,,BK-13,47,326.0,BK21,40.576052000000004,-73.98575600000001,40.57578,-73.98598299999999,,New Construction,No,Non Prevailing Wage,90,89,244,22,0,1,113,175,121,37,0,0,0,0,446,0,446,446
10,65363,LAFAYETTE MORRISON APARTMENTS,2018-06-29T00:00:00,2018-06-29T00:00:00,51117.0,820,BOYNTON AVENUE,Bronx,10473.0,2036270040.0,2092723.0,BX-09,17,28.0,BX09,40.82007,-73.87621999999999,40.82026,-73.875577,2018-06-29T00:00:00,Preservation,Yes,Non Prevailing Wage,4,189,21,4,4,0,0,38,147,37,0,0,0,0,0,222,222,222
11,65363,LAFAYETTE MORRISON APARTMENTS,2018-06-29T00:00:00,2018-06-29T00:00:00,806311.0,880,BOYNTON AVENUE,Bronx,10473.0,2036270050.0,2092724.0,BX-09,17,28.0,BX09,40.821314,-73.87650699999999,40.82134,-73.875835,2018-06-29T00:00:00,Preservation,Yes,Non Prevailing Wage,2,197,16,6,5,0,0,38,152,36,0,0,0,0,0,226,226,226
