,project_id,project_name,project_start_date,project_completion_date,building_id,number,street,borough,postcode,bbl,bin,community_board,council_district,census_tract,nta_-_neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,building_completion_date,reporting_construction_type,extended_affordability_only,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,1-br_units,2-br_units,3-br_units,4-br_units,5-br_units,6-br+_units,unknown-br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units
3279,49722,Livonia Commons,2014-01-15T00:00:00,,969838.0,481,WILLIAMS AVENUE,Brooklyn,11207.0,3038197501.0,3418180.0,BK-05,42,1130.0,BK85,40.663863,-73.897661,40.66402,-73.89744499999999,2015-10-21T00:00:00,New Construction,No,Non Prevailing Wage,0,24,27,0,0,1,15,14,17,6,0,0,0,0,52,0,52,52
3278,49722,Livonia Commons,2014-01-15T00:00:00,,948724.0,494,GEORGIA AVENUE,Brooklyn,11207.0,3038207501.0,3418179.0,BK-05,42,1130.0,BK85,40.664165999999994,-73.89585500000001,40.66418,-73.89633,2016-04-25T00:00:00,New Construction,No,Non Prevailing Wage,0,89,0,0,0,1,43,22,20,5,0,0,0,0,90,0,90,90
3277,49722,Livonia Commons,2014-01-15T00:00:00,,948723.0,494,SHEFFIELD AVE,Brooklyn,11207.0,3038047501.0,3421640.0,BK-05,42,1126.0,BK85,40.664945,-73.895111,40.6648,-73.895511,2016-04-22T00:00:00,New Construction,No,Non Prevailing Wage,0,11,72,0,0,1,6,32,41,5,0,0,0,0,84,0,84,84
3276,49722,Livonia Commons,2014-01-15T00:00:00,,948722.0,491,SHEFFIELD AVENUE,Brooklyn,11207.0,3038057501.0,3413699.0,BK-05,42,1126.0,BK85,40.664986,-73.8951,40.66492,-73.894805,2015-10-21T00:00:00,New Construction,No,Non Prevailing Wage,0,29,22,0,0,1,9,20,17,6,0,0,0,0,52,0,52,52
3245,44250,MERCY. 485 4TH AVE. MERCY HOME,2014-02-06T00:00:00,,927161.0,487,4 AVENUE,Brooklyn,11215.0,3010280007.0,,BK-06,39,139.0,BK37,40.668453,-73.990289,40.66826,-73.990004,,New Construction,No,Non Prevailing Wage,8,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,8,8
3224,49588,My Micro NY fka Adapt NYC/Micro Units,2014-02-26T00:00:00,,949027.0,335,EAST 27 STREET,Manhattan,10016.0,1009337501.0,1084666.0,MN-06,2,66.0,MN20,40.739565999999996,-73.977039,40.73985,-73.977417,2016-04-15T00:00:00,New Construction,No,Non Prevailing Wage,8,0,11,0,3,1,23,0,0,0,0,0,0,0,23,0,23,55
3186,50473,The Bedford,2014-03-28T00:00:00,,952671.0,3160,WEBSTER AVENUE,Bronx,10467.0,2033577501.0,2128546.0,BX-07,11,425.0,BX43,40.872282,-73.87562,40.87239,-73.87501999999999,,New Construction,No,Non Prevailing Wage,0,0,12,0,0,0,0,6,6,0,0,0,0,0,12,0,12,60
3089,50248,MHANY 2,2014-06-18T00:00:00,,398650.0,307,WYONA STREET,Brooklyn,11207.0,3037410004.0,3083932.0,BK-05,37,1152.0,BK82,40.671423,-73.892794,40.67135,-73.89250899999999,,Preservation,No,Non Prevailing Wage,0,0,3,0,0,0,0,0,1,2,0,0,0,0,3,0,3,3
3088,50248,MHANY 2,2014-06-18T00:00:00,,398640.0,285,WYONA STREET,Brooklyn,11207.0,3037410013.0,3083940.0,BK-05,37,1152.0,BK82,40.671828999999995,-73.892894,40.67184,-73.89263100000001,,Preservation,No,Non Prevailing Wage,0,0,3,0,0,0,0,0,1,2,0,0,0,0,3,0,3,3
3087,50248,MHANY 2,2014-06-18T00:00:00,,369344.0,735,SHEFFIELD AVENUE,Brooklyn,11207.0,3043220054.0,3097298.0,BK-05,42,1104.0,BK82,40.659194,-73.892165,40.659209999999995,-73.891876,,Preservation,No,Non Prevailing Wage,0,0,3,0,0,0,0,1,1,1,0,0,0,0,3,0,3,3
3086,50248,MHANY 2,2014-06-18T00:00:00,,363970.0,74,ROGERS AVENUE,Brooklyn,11216.0,3012320021.0,3031176.0,BK-08,36,221.0,BK61,40.674145,-73.952893,40.67413,-73.953188,,Preservation,No,Non Prevailing Wage,0,0,2,0,0,0,0,1,0,0,1,0,0,0,2,0,2,2
3085,50248,MHANY 2,2014-06-18T00:00:00,,363912.0,60,ROGERS AVENUE,Brooklyn,11216.0,3012250020.0,3030928.0,BK-08,36,221.0,BK61,40.674754,-73.952835,40.67479,-73.95308299999999,,Preservation,No,Non Prevailing Wage,0,0,3,0,0,0,0,1,2,0,0,0,0,0,3,0,3,3
3084,50248,MHANY 2,2014-06-18T00:00:00,,357152.0,451,PROSPECT PLACE,Brooklyn,11238.0,3011550077.0,3028649.0,BK-08,35,305.0,BK61,40.676097,-73.961353,40.67635,-73.96130600000001,,Preservation,No,Non Prevailing Wage,0,0,9,0,0,0,2,0,0,7,0,0,0,0,9,0,9,9
3083,50248,MHANY 2,2014-06-18T00:00:00,,354114.0,2156,PITKIN AVENUE,Brooklyn,11207.0,3037410017.0,3083944.0,BK-05,37,1152.0,BK82,40.672326,-73.892893,40.6721,-73.892771,,Preservation,No,Non Prevailing Wage,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3
3082,50248,MHANY 2,2014-06-18T00:00:00,,349890.0,1932,PACIFIC STREET,Brooklyn,11233.0,3013440124.0,3035745.0,BK-08,41,307.0,BK61,40.676173999999996,-73.922839,40.67592,-73.92241,,Preservation,No,Non Prevailing Wage,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3
3081,50248,MHANY 2,2014-06-18T00:00:00,,349884.0,1920,PACIFIC STREET,Brooklyn,11233.0,3013440118.0,3035739.0,BK-08,41,307.0,BK61,40.676190000000005,-73.923123,40.675940000000004,-73.9229,,Preservation,No,Non Prevailing Wage,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3
3080,50248,MHANY 2,2014-06-18T00:00:00,,349855.0,1892,PACIFIC STREET,Brooklyn,11233.0,3013440104.0,3035731.0,BK-08,41,307.0,BK61,40.676251,-73.924255,40.676,-73.92399999999999,,Preservation,No,Non Prevailing Wage,0,0,4,0,0,0,0,2,0,1,1,0,0,0,4,0,4,4
